User_ID,Blink_ID,Duration_ms,EAR
4eab2268,1754829862,219.7,0.316
4eab2268,1754829863,58.71,0.286
4eab2268,1754829865,251.89,0.263
4eab2268,1754829866,311.61,0.238
4eab2268,1754829867,47.57,0.238
4eab2268,1754829873,145.4,0.25
4eab2268,1754829875,254.36,0.236
4eab2268,1754829876,309.26,0.25
4eab2268,1754829878,432.84,0.238
4eab2268,1754829885,188.07,0.285
4eab2268,1754829887,302.05,0.257
4eab2268,1754829888,204.76,0.26
4eab2268,1754829889,203.35,0.242
4eab2268,1754829891,300.89,0.274
27dbd3a9,1754834761,357.5,0.293
27dbd3a9,1754834762,76.39,0.277
27dbd3a9,1754834762,346.1,0.285
27dbd3a9,1754834763,382.93,0.287
27dbd3a9,1754834763,62.86,0.306
27dbd3a9,1754834763,176.59,0.312
27dbd3a9,1754834764,378.8,0.275
27dbd3a9,1754834764,74.86,0.277
c06ae813,1755506912,186.46,0.246
c06ae813,1755506914,236.26,0.244
c06ae813,1755506914,179.49,0.244
1ca775f9,1758684382,36.45,0.255
1ca775f9,1758684384,186.42,0.25
1ca775f9,1758684385,111.68,0.268
1ca775f9,1758684387,149.12,0.253
1ca775f9,1758684388,121.5,0.25
1ca775f9,1758684391,61.0,0.258
1ca775f9,1758684391,56.88,0.267
1ca775f9,1758684392,104.71,0.27
1ca775f9,1758684395,50.21,0.27
1ca775f9,1758684397,241.12,0.268
1ca775f9,1758684398,48.69,0.26
5cb2ebcd,1764226961,205.48,0.282
5cb2ebcd,1764226963,591.92,0.276
5cb2ebcd,1764226963,65.0,0.277
5cb2ebcd,1764226967,648.22,0.278
5cb2ebcd,1764226967,37.32,0.276
5cb2ebcd,1764226967,111.86,0.28
5cb2ebcd,1764226968,37.28,0.283
5cb2ebcd,1764226968,50.79,0.288
5cb2ebcd,1764226968,37.07,0.291
5cb2ebcd,1764226968,36.75,0.276
5cb2ebcd,1764226968,41.43,0.278
5cb2ebcd,1764226969,391.95,0.282
5cb2ebcd,1764226970,112.29,0.466
5cb2ebcd,1764226971,108.06,0.382
5cb2ebcd,1764226971,304.89,0.282
5cb2ebcd,1764226973,1374.67,0.3
5cb2ebcd,1764226976,198.95,0.276
5cb2ebcd,1764226982,345.1,0.288
5cb2ebcd,1764226983,244.86,0.313
5cb2ebcd,1764226983,200.16,0.294
5cb2ebcd,1764226983,103.82,0.278
5cb2ebcd,1764226986,129.53,0.296
5cb2ebcd,1764226993,1138.6,0.276
